SEASON_YEAR,GAME_DATE,MATCHUP,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,MIN,FGM,FG3M,FTM,REB,AST,TOV,STL,BLK
2023-24,2023-11-24T00:00:00,PHX @ MEM,1626164,Devin Booker,1610612756,Phoenix Suns,33.36666666666667,15,3,7,5,4,5,4,1
2023-24,2023-11-24T00:00:00,BOS @ ORL,1629052,Oshae Brissett,1610612738,Boston Celtics,5.318333333333333,0,0,0,0,0,0,0,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,1630625,Dalano Banton,1610612738,Boston Celtics,0.535,0,0,0,0,0,0,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1629669,Jaylen Nowell,1610612763,Memphis Grizzlies,1.6333333333333333,0,0,0,0,0,0,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1627885,Shaquille Harrison,1610612763,Memphis Grizzlies,1.6333333333333333,0,0,0,0,0,0,0,0
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1641710,Anthony Black,1610612753,Orlando Magic,6.233333333333333,0,0,0,1,0,1,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1630533,Ziaire Williams,1610612763,Memphis Grizzlies,1.6333333333333333,0,0,0,0,1,0,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1631254,Kenneth Lofton Jr.,1610612763,Memphis Grizzlies,1.6333333333333333,1,0,0,0,0,0,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1641713,GG Jackson,1610612763,Memphis Grizzlies,1.6333333333333333,0,0,0,0,0,1,1,0
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1631216,Caleb Houstan,1610612753,Orlando Magic,8.766666666666667,0,0,0,2,0,0,1,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,1630202,Payton Pritchard,1610612738,Boston Celtics,13.116666666666667,1,0,0,1,2,1,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1629723,John Konchar,1610612763,Memphis Grizzlies,17.745,0,0,1,3,1,0,0,0
2023-24,2023-11-24T00:00:00,PHX @ MEM,1629002,Chimezie Metu,1610612756,Phoenix Suns,15.466666666666667,1,0,1,2,1,0,0,0
2023-24,2023-11-24T00:00:00,ORL vs. BOS,203914,Gary Harris,1610612753,Orlando Magic,19.416666666666668,1,1,1,3,0,2,0,0
2023-24,2023-11-24T00:00:00,PHX @ MEM,1629642,Nassir Little,1610612756,Phoenix Suns,15.766666666666667,0,0,2,4,0,1,1,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1631246,Vince Williams Jr.,1610612763,Memphis Grizzlies,13.716666666666667,1,1,0,5,1,0,0,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1631367,Jacob Gilyard,1610612763,Memphis Grizzlies,23.55,2,1,1,0,5,2,0,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,201143,Al Horford,1610612738,Boston Celtics,32.97,1,1,0,5,3,1,0,0
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1628371,Jonathan Isaac,1610612753,Orlando Magic,15.866666666666667,1,0,3,7,0,0,0,0
